distance_class,edge_length,cycle_order,number_of_cycles
1,0.05018187570280486,4,6
4,0.14366512394929265,3,8
5,0.16370502695208364,3,8
7,0.17225062849294356,4,6
8,0.17831452177501783,4,6
9,0.19630388506530225,3,8
11,0.2049266154060004,3,8
